,GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,QuarterbackHitsDifferential,TacklesForLossDifferential,QuarterbackSacksDifferential,TacklesForLossPercentage,QuarterbackHitsPercentage,TimesSackedPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,OpponentQuarterbackHitsDifferential,OpponentTacklesForLossDifferential,OpponentQuarterbackSacksDifferential,OpponentTacklesForLossPercentage,OpponentQuarterbackHitsPercentage,OpponentTimesSackedPercentage,Kickoffs,KickoffsInEndZone,KickoffTouchbacks,PuntsHadBlocked,PuntNetAverage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,FieldGoalsHadBlocked,PuntReturns,PuntReturnYards,KickReturns,KickReturnYards,InterceptionReturns,InterceptionReturnYards,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentKickoffTouchbacks,OpponentPuntsHadBlocked,OpponentPuntNetAverage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,OpponentFieldGoalsHadBlocked,OpponentPuntReturns,OpponentPuntReturnYards,OpponentKickReturns,OpponentKickReturnYards,OpponentInterceptionReturns,OpponentInterceptionReturnYards,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,InterceptionReturnTouchdowns,BlockedKicks,PuntReturnTouchdowns,PuntReturnLong,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnYards,BlockedKickReturnTouchdowns,FieldGoalReturnYards,FieldGoalReturnTouchdowns,PuntNetYards,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,OpponentFumbleReturnYards,OpponentFumbleReturnTouchdowns,OpponentInterceptionReturnTouchdowns,OpponentBlockedKicks,OpponentPuntReturnTouchdowns,OpponentPuntReturnLong,OpponentKickReturnTouchdowns,OpponentKickReturnLong,OpponentBlockedKickReturnYards,OpponentBlockedKickReturnTouchdowns,OpponentFieldGoalReturnYards,OpponentFieldGoalReturnTouchdowns,OpponentPuntNetYards,IsGameOver,TeamName,DayOfWeek,PassingDropbacks,OpponentPassingDropbacks,TeamGameID,TwoPointConversionReturns,OpponentTwoPointConversionReturns,TeamID,OpponentID,Day,DateTime,GlobalGameID,GlobalTeamID,GlobalOpponentID,ScoreID
0,200210135,2002-09-08,1,2002,1,ARI,WAS,AWAY,2,2,54,Fedex Field,Grass,21,20,0,12.3,0.5,10,3,3,7,0,2,3,25:36,1,0,1,0,16,71,0.30000000000000004,0,2,19,0.30000000000000004,0,3,1,52,0,0,0.4,1.0,10.7,14.9,1,0,2.3,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,63,12.5,0,0,0,3,7,14,7,0,3,2,34:24,2,1,1,0,20,122,0.5,0,2,34,0.30000000000000004,0,11,2,88,0,0,0.6000000000000001,0.9,19.3,29.9,1,1,15.5,0,0,13.8,0,0,0,0,2,1,15,0,0,0,1,0,0,0,0,58,14.6,0,0,0,2.5,13.8,0,0,0,0.0,0.0,2.7,18.4,27.6,0,0,0,0.0,0.0,0.2,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,2,0,33,0,1,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,10,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,50,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,46,True,Cardinals,Sunday,10,11,398579,0,0,1,35,2002-09-08T00:00:00,2002-09-08,11896,1,35,11896
1,200210112,2002-09-08,1,2002,1,ATL,GB,AWAY,3,10,71,Lambeau Field,Grass,23,18,1,11.9,0.5,0,21,3,10,0,2,15,30:55,2,1,1,0,16,103,0.5,0,2,50,0.5,0,2,1,54,0,0,0.6000000000000001,1.0,18.0,29.3,1,0,13.8,0,0,0.0,0,0,0,0,3,0,23,0,0,0,1,0,0,0,0,32,10.8,0,0,0,3,10,14,7,3,10,14,38:50,2,1,1,0,21,134,0.5,0,10,58,0.4,0,3,2,75,0,0,0.6000000000000001,0.8,19.2,30.4,1,1,14.7,0,0,27.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,2.7,0,0,0,22.1,20.7,0,0,-1,0.0,0.0,14.8,18.4,27.6,0,0,0,0.0,0.0,0.4,1,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,3,0,43,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,15,2,0,1,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,32,12,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,True,Falcons,Sunday,2,10,398580,0,0,2,12,2002-09-08T00:00:00,2002-09-08,11887,2,12,11887
2,200210105,2002-09-08,1,2002,1,BAL,CAR,AWAY,1,1,17,Ericsson Stadium,Grass,22,16,1,2.6,-0.6000000000000001,7,0,0,0,0,2,1,26:09,1,0,1,0,15,80,0.4,0,1,21,0.30000000000000004,0,3,2,59,0,0,0.5,0.8,16.2,20.6,1,0,2.7,0,0,0.0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,1,69,2.7,0,0,0,7,3,0,0,0,3,14,33:51,1,0,1,0,16,73,0.4,0,3,40,0.30000000000000004,0,1,1,33,0,0,0.5,0.8,17.4,27.2,1,0,2.7,0,0,0.0,0,0,0,0,15,0,3,0,0,0,1,0,0,0,1,82,11.7,0,0,0,27.6,0.0,0,0,0,0.0,0.0,5.6,0.0,0.0,0,0,0,0.0,0.0,0.7000000000000001,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,True,Ravens,Sunday,3,2,398581,0,0,3,5,2002-09-08T00:00:00,2002-09-08,11882,3,5,11882
3,200210104,2002-09-08,1,2002,1,BUF,NYJ,HOME,2,10,68,Ralph Wilson Stadium,Artificial,24,21,0,11.2,0.2,3,14,7,7,0,11,1,39:08,2,1,1,0,21,106,0.4,0,2,39,0.30000000000000004,0,11,2,67,0,0,0.5,0.7000000000000001,18.4,19.5,1,1,11.4,0,0,27.6,0,0,0,0,1,1,23,0,0,0,2,0,0,0,0,18,2.4,0,0,-1,0,17,3,11,6,2,0,21:06,1,0,1,0,13,73,0.4,0,1,20,0.4,0,2,2,53,0,0,0.5,0.6000000000000001,22.1,31.9,1,0,1.9000000000000001,0,0,0.0,0,0,0,0,13,1,25,0,0,0,1,0,0,0,0,32,10.6,0,0,0,27.6,27.6,0,0,0,0.0,0.0,9.3,13.8,27.6,0,0,0,0.0,0.0,0.7000000000000001,1,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,1,1,37,0,0,1,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,1,1,80,0,10,3,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,15,13,2,0,2,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,28,True,Bills,Sunday,12,3,405837,0,0,4,24,2002-09-08T00:00:00,2002-09-08,11881,4,24,11881
4,200210105,2002-09-08,1,2002,1,CAR,BAL,HOME,1,1,17,Ericsson Stadium,Grass,22,16,1,2.6,0.2,7,3,0,0,0,3,14,33:51,1,0,1,0,16,73,0.4,0,3,40,0.30000000000000004,0,1,1,33,0,0,0.5,0.8,17.4,27.2,1,0,2.7,0,0,0.0,0,0,0,0,15,0,3,0,0,0,1,0,0,0,1,82,11.7,0,0,0,7,0,0,0,0,2,1,26:09,1,0,1,0,15,80,0.4,0,1,21,0.30000000000000004,0,3,2,59,0,0,0.5,0.8,16.2,20.6,1,0,2.7,0,0,0.0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,1,69,2.7,0,0,0,0.0,0.0,0,0,0,0.0,0.0,9.5,27.6,0.0,0,0,0,0.0,0.0,0.4,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,True,Panthers,Sunday,2,3,405838,0,0,5,3,2002-09-08T00:00:00,2002-09-08,11882,5,3,11882
5,200210106,2002-09-08,1,2002,1,CHI,MIN,HOME,2,2,50,Memorial Stadium,Astroplay,23,11,0,11.3,-1.2,7,3,3,14,0,2,2,28:29,2,0,1,0,17,102,0.5,0,2,22,0.2,0,3,2,79,0,0,0.7000000000000001,1.1,16.7,26.6,1,1,14.8,0,0,0.0,0,0,0,0,15,0,3,0,0,0,1,0,0,0,0,34,11.2,0,0,0,3,17,0,3,0,2,2,31:31,1,1,1,0,17,102,0.4,0,3,39,0.30000000000000004,0,2,1,63,0,0,0.6000000000000001,1.1,15.8,18.2,1,0,10.6,0,0,0.0,0,0,0,0,2,1,14,0,0,0,0,0,0,0,0,32,10.7,0,0,0,27.6,27.6,0,0,0,0.0,0.0,2.9,1.9000000000000001,13.8,0,0,0,0.0,0.0,0.30000000000000004,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,1,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,13,1,0,0,0,0,0,-3,0,0,0,0,2,0,2,0,0,0,0,29,12,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,22,True,Bears,Sunday,3,2,405839,0,0,6,20,2002-09-08T00:00:00,2002-09-08,11883,6,20,11883
6,200210107,2002-09-08,1,2002,1,CIN,LAC,HOME,0,3,40,Paul Brown Stadium,Artificial,25,17,1,10.5,-0.6000000000000001,0,0,3,3,0,2,1,22:12,1,0,1,0,13,56,0.30000000000000004,0,1,3,0.2,0,2,1,46,0,0,0.4,0.7000000000000001,16.0,16.4,1,0,10.0,0,0,0.0,0,0,0,0,0,1,16,0,0,0,2,0,0,0,0,61,12.2,0,0,0,10,10,7,7,0,10,13,37:48,2,1,1,0,18,111,0.5,0,12,67,0.4,0,1,1,44,0,0,0.6000000000000001,0.8,21.8,37.8,1,0,16.6,0,0,0.0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,24,12.1,0,0,0,0.0,0.0,0,0,-1,0.0,0.0,11.4,18.4,27.6,0,0,0,0.0,0.0,0.4,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,52,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,19,True,Bengals,Sunday,3,2,405840,0,0,7,29,2002-09-08T00:00:00,2002-09-08,11884,7,29,11884
7,200210108,2002-09-08,1,2002,1,CLE,KC,HOME,11,11,79,Cleveland Browns Stadium,Grass,24,13,0,10.2,-0.7000000000000001,6,14,7,12,0,2,12,29:44,2,0,1,0,17,113,0.5,0,2,16,0.2,0,11,2,97,0,0,0.7000000000000001,1.0,19.3,36.0,1,0,10.0,0,0,0.0,0,0,0,0,13,0,10,0,0,0,1,0,0,0,0,20,10.2,0,0,0,7,7,3,23,0,2,1,30:16,2,1,1,0,16,130,0.6000000000000001,0,2,54,0.5,0,2,2,76,0,0,0.7000000000000001,1.1,19.0,26.6,1,0,12.6,0,0,0.0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,45,11.3,0,0,0,1.9000000000000001,13.8,0,0,0,0.0,0.0,2.4,18.4,27.6,0,0,0,0.0,0.0,0.0,1,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2,0,33,0,2,1,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,0,12,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,15,12,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,33,True,Browns,Sunday,11,2,405841,0,0,8,16,2002-09-08T00:00:00,2002-09-08,11885,8,16,11885
8,200210113,2002-09-08,1,2002,1,DAL,HOU,AWAY,1,1,29,Reliant Stadium,Grass,19,11,0,2.6,-2.2,0,3,7,0,0,2,0,26:05,1,0,0,0,16,74,0.4,0,2,43,0.5,0,2,1,31,0,0,0.30000000000000004,0.7000000000000001,12.0,11.0,1,0,1.2,0,0,0.0,0,0,0,0,1,1,32,0,0,0,1,0,0,0,1,94,10.4,0,0,0,7,3,0,9,0,3,15,33:55,1,0,0,0,17,58,0.30000000000000004,0,3,24,0.2,0,2,1,34,0,0,0.4,0.9,12.6,20.6,1,0,1.0,0,0,0.0,0,0,0,0,2,1,22,0,0,0,2,0,0,0,1,114,11.4,0,0,0,0.0,0.0,0,0,0,0.0,0.0,9.1,13.8,0.0,0,0,-1,0.0,0.0,1.6,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,1,1,0,17,0,1,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,12,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,88,11,0,0,1,1,0,0,-2,0,0,0,0,1,0,2,0,0,0,0,111,True,Cowboys,Sunday,3,2,398582,0,0,9,13,2002-09-08T00:00:00,2002-09-08,11888,9,13,11888
9,200210110,2002-09-08,1,2002,1,DEN,LAR,HOME,2,1,39,Invesco Field,Grass,23,3,0,14.4,0.2,7,9,0,7,0,2,1,28:14,1,0,1,0,16,80,0.4,0,2,29,0.30000000000000004,0,2,1,52,0,0,0.5,0.8,18.4,22.2,1,0,1.5,0,0,27.6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,43,14.3,0,0,0,0,6,7,3,0,2,13,31:46,1,0,1,0,16,90,0.4,0,1,2,0.2,0,11,2,81,0,0,0.5,0.7000000000000001,21.5,23.9,1,0,1.9000000000000001,0,0,0.0,0,0,0,0,13,0,12,0,0,0,2,0,0,0,0,30,10.1,0,0,0,2.5,0.0,0,0,0,0.0,0.0,12.9,2.5,27.6,0,0,0,0.0,0.0,0.5,0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,1,0,27,0,2,12,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,29,True,Broncos,Sunday,2,12,405842,0,0,10,32,2002-09-08T00:00:00,2002-09-08,11886,10,32,11886
