game_id,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,PlayingSurface,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,QuarterbackHitsDifferential,TacklesForLossDifferential,QuarterbackSacksDifferential,TacklesForLossPercentage,QuarterbackHitsPercentage,TimesSackedPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,OpponentQuarterbackHitsDifferential,OpponentTacklesForLossDifferential,OpponentQuarterbackSacksDifferential,OpponentTacklesForLossPercentage,OpponentQuarterbackHitsPercentage,OpponentTimesSackedPercentage,Kickoffs,KickoffsInEndZone,KickoffTouchbacks,PuntsHadBlocked,PuntNetAverage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,FieldGoalsHadBlocked,PuntReturns,PuntReturnYards,KickReturns,KickReturnYards,InterceptionReturns,InterceptionReturnYards,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentKickoffTouchbacks,OpponentPuntsHadBlocked,OpponentPuntNetAverage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,OpponentFieldGoalsHadBlocked,OpponentPuntReturns,OpponentPuntReturnYards,OpponentKickReturns,OpponentKickReturnYards,OpponentInterceptionReturns,OpponentInterceptionReturnYards,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,InterceptionReturnTouchdowns,BlockedKicks,PuntReturnTouchdowns,PuntReturnLong,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnYards,BlockedKickReturnTouchdowns,FieldGoalReturnYards,FieldGoalReturnTouchdowns,PuntNetYards,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,OpponentFumbleReturnYards,OpponentFumbleReturnTouchdowns,OpponentInterceptionReturnTouchdowns,OpponentBlockedKicks,OpponentPuntReturnTouchdowns,OpponentPuntReturnLong,OpponentKickReturnTouchdowns,OpponentKickReturnLong,OpponentBlockedKickReturnYards,OpponentBlockedKickReturnTouchdowns,OpponentFieldGoalReturnYards,OpponentFieldGoalReturnTouchdowns,OpponentPuntNetYards,DayOfWeek,PassingDropbacks,OpponentPassingDropbacks,TwoPointConversionReturns,OpponentTwoPointConversionReturns
200209050nyg,9/5/2002,2002,1,FALSE,NYG,13,16,SF,SF,-4,39,Giants Stadium,FALSE,75,12,58,NA,Grass,3,3,0,7,0,2,2,32:28:00,2,0,1,0,19,100,0.4,0,2,12,0.2,0,12,2,88,0,0,0.5,0.9,17.2,15.3,1,1,15.5,0,0,0,0,0,0,0,0,1,22,0,0,0,2,0,0,0,0,29,2.6,0,0,-1,3,0,7,6,0,2,2,27:32:00,1,0,1,0,14,77,0.4,0,2,31,0.30000000000000004,0,2,1,46,0,0,0.5,0.8,17,21.2,1,0,2.5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,37,12.2,0,0,0,2.5,27.6,0,0,-1,0,0,6.2,1.5,2.5,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,29,14,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,Thursday,13,2,0,0
200209080buf,9/8/2002,2002,1,FALSE,BUF,31,37,NYJ,NYJ,-3,43,Ralph Wilson Stadium,FALSE,75,7,50,NA,Artificial,3,14,7,7,0,11,1,39:08:00,2,1,1,0,21,106,0.4,0,2,39,0.30000000000000004,0,11,2,67,0,0,0.5,0.7000000000000001,18.4,19.5,1,1,11.4,0,0,27.6,0,0,0,0,1,1,23,0,0,0,2,0,0,0,0,18,2.4,0,0,-1,0,17,3,11,6,2,0,21:06:00,1,0,1,0,13,73,0.4,0,1,20,0.4,0,2,2,53,0,0,0.5,0.6000000000000001,22.1,31.9,1,0,1.9,0,0,0,0,0,0,0,13,1,25,0,0,0,1,0,0,0,0,32,10.6,0,0,0,27.6,27.6,0,0,0,0,0,9.3,13.8,27.6,0,0,0,0,0,0.7000000000000001,1,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,1,1,37,0,0,1,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,1,1,80,0,10,3,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,15,13,2,0,2,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,28,Sunday,12,3,0,0
200209080car,9/8/2002,2002,1,FALSE,CAR,10,7,BAL,PICK,0,33,Bank of America Stadium,FALSE,73,8,66,NA,Grass,7,3,0,0,0,3,14,33:51:00,1,0,1,0,16,73,0.4,0,3,40,0.30000000000000004,0,1,1,33,0,0,0.5,0.8,17.4,27.2,1,0,2.7,0,0,0,0,0,0,0,15,0,3,0,0,0,1,0,0,0,1,82,11.7,0,0,0,7,0,0,0,0,2,1,26:09:00,1,0,1,0,15,80,0.4,0,1,21,0.30000000000000004,0,3,2,59,0,0,0.5,0.8,16.2,20.6,1,0,2.7,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,1,69,2.7,0,0,0,0,0,0,0,0,0,0,9.5,27.6,0,0,0,0,0,0,0.4,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,Sunday,2,3,0,0
200209080chi,9/8/2002,2002,1,FALSE,CHI,27,23,MIN,CHI,-4.5,41,Memorial Stadium (Champaign),FALSE,76,5,75,NA,Astroplay,7,3,3,14,0,2,2,28:29:00,2,0,1,0,17,102,0.5,0,2,22,0.2,0,3,2,79,0,0,0.7000000000000001,1.1,16.7,26.6,1,1,14.8,0,0,0,0,0,0,0,15,0,3,0,0,0,1,0,0,0,0,34,11.2,0,0,0,3,17,0,3,0,2,2,31:31:00,1,1,1,0,17,102,0.4,0,3,39,0.30000000000000004,0,2,1,63,0,0,0.6000000000000001,1.1,15.8,18.2,1,0,10.6,0,0,0,0,0,0,0,2,1,14,0,0,0,0,0,0,0,0,32,10.7,0,0,0,27.6,27.6,0,0,0,0,0,2.9,1.9,13.8,0,0,0,0,0,0.30000000000000004,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,13,1,0,0,0,0,0,-3,0,0,0,0,2,0,2,0,0,0,0,29,12,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,22,Sunday,3,2,0,0
200209080cin,9/8/2002,2002,1,FALSE,CIN,6,34,LAC,CIN,-3,37,Paul Brown Stadium,FALSE,81,5,50,NA,Artificial,0,0,3,3,0,2,1,22:12:00,1,0,1,0,13,56,0.30000000000000004,0,1,3,0.2,0,2,1,46,0,0,0.4,0.7000000000000001,16,16.4,1,0,10,0,0,0,0,0,0,0,0,1,16,0,0,0,2,0,0,0,0,61,12.2,0,0,0,10,10,7,7,0,10,13,37:48:00,2,1,1,0,18,111,0.5,0,12,67,0.4,0,1,1,44,0,0,0.6000000000000001,0.8,21.8,37.8,1,0,16.6,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,24,12.1,0,0,0,0,0,0,0,-1,0,0,11.4,18.4,27.6,0,0,0,0,0,0.4,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,52,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,19,Sunday,3,2,0,0
200209080cle,9/8/2002,2002,1,FALSE,CLE,39,40,KC,CLE,-2,36,FirstEnergy Stadium,FALSE,78,7,54,NA,Grass,6,14,7,12,0,2,12,29:44:00,2,0,1,0,17,113,0.5,0,2,16,0.2,0,11,2,97,0,0,0.7000000000000001,1,19.3,36,1,0,10,0,0,0,0,0,0,0,13,0,10,0,0,0,1,0,0,0,0,20,10.2,0,0,0,7,7,3,23,0,2,1,30:16:00,2,1,1,0,16,130,0.6000000000000001,0,2,54,0.5,0,2,2,76,0,0,0.7000000000000001,1.1,19,26.6,1,0,12.6,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,45,11.3,0,0,0,1.9,13.8,0,0,0,0,0,2.4,18.4,27.6,0,0,0,0,0,0,1,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2,0,33,0,2,1,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,0,12,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,15,12,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,33,Sunday,11,2,0,0
200209080den,9/8/2002,2002,1,FALSE,DEN,23,16,LAR,LAR,-3,51,Sports Authority Field at Mile High,FALSE,73,13,45,NA,Grass,7,9,0,7,0,2,1,28:14:00,1,0,1,0,16,80,0.4,0,2,29,0.30000000000000004,0,2,1,52,0,0,0.5,0.8,18.4,22.2,1,0,1.5,0,0,27.6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,43,14.3,0,0,0,0,6,7,3,0,2,13,31:46:00,1,0,1,0,16,90,0.4,0,1,2,0.2,0,11,2,81,0,0,0.5,0.7000000000000001,21.5,23.9,1,0,1.9,0,0,0,0,0,0,0,13,0,12,0,0,0,2,0,0,0,0,30,10.1,0,0,0,2.5,0,0,0,0,0,0,12.9,2.5,27.6,0,0,0,0,0,0.5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,1,0,27,0,2,12,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,29,Sunday,2,12,0,0
200209080gb,9/8/2002,2002,1,FALSE,GB,37,34,ATL,GB,-7,42.5,Lambeau Field,FALSE,72,6,78,NA,Grass,3,10,14,7,3,10,14,38:50:00,2,1,1,0,21,134,0.5,0,10,58,0.4,0,3,2,75,0,0,0.6000000000000001,0.8,19.2,30.4,1,1,14.7,0,0,27.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,2.7,0,0,0,0,21,3,10,0,2,15,30:55:00,2,1,1,0,16,103,0.5,0,2,50,0.5,0,2,1,54,0,0,0.6000000000000001,1,18,29.3,1,0,13.8,0,0,0,0,0,0,0,3,0,23,0,0,0,1,0,0,0,0,32,10.8,0,0,0,18.4,27.6,0,0,0,0,0,5.3,22.1,20.7,0,0,-1,0,0,1.1,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,3,0,43,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,15,2,0,1,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,32,Sunday,10,2,0,0
200209080hou,9/8/2002,2002,1,FALSE,HOU,19,10,DAL,DAL,-8.5,33.5,Reliant Stadium,FALSE,72,0,NA,indoor,Grass,7,3,0,9,0,3,15,33:55:00,1,0,0,0,17,58,0.30000000000000004,0,3,24,0.2,0,2,1,34,0,0,0.4,0.9,12.6,20.6,1,0,1,0,0,0,0,0,0,0,2,1,22,0,0,0,2,0,0,0,1,114,11.4,0,0,0,0,3,7,0,0,2,0,26:05:00,1,0,0,0,16,74,0.4,0,2,43,0.5,0,2,1,31,0,0,0.30000000000000004,0.7000000000000001,12,11,1,0,1.2,0,0,0,0,0,0,0,1,1,32,0,0,0,1,0,0,0,1,94,10.4,0,0,0,13.8,0,0,0,-1,0,0,21.4,0,0,0,0,0,0,0,0.7000000000000001,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,1,1,0,17,0,1,11,0,0,1,1,0,0,-2,0,0,0,0,1,0,2,0,0,0,0,111,12,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,88,Sunday,2,3,0,0
200209080jax,9/8/2002,2002,1,FALSE,JAX,25,28,IND,IND,-3.5,44,EverBank Field,FALSE,82,14,77,NA,Grass,0,7,10,8,0,2,3,32:33:00,1,1,1,0,19,95,0.4,0,2,33,0.30000000000000004,0,3,2,62,0,0,0.5,0.8,16.9,23.7,1,1,13.8,0,0,27.6,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,43,14.4,0,0,0,7,7,7,7,0,2,2,27:27:00,1,0,1,0,17,85,0.4,0,2,29,0.30000000000000004,0,2,1,56,0,0,0.5,0.8,16.9,31.1,1,1,17.7,0,0,0,0,0,0,0,15,0,1,0,0,0,1,0,0,0,0,39,13.1,0,0,0,20.7,27.6,0,0,0,0,0,2.7,20.7,27.6,0,0,0,0,0,0.2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,11,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,39,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,34,Sunday,10,2,0,0
