game_id,week,day,date,winner,loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,atHome,TODiff,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
197909020phi,1,Sun,1979-09-02,PHI,NYG,23,17,315,2,285,2,TRUE,0,FALSE,PHI,-7,31.5,Veterans Stadium,FALSE,76,9,84,NA
197909020kc,1,Sun,1979-09-02,KC,IND,14,0,211,1,308,2,TRUE,1,FALSE,KC,-1,37,Arrowhead Stadium,FALSE,76,8,71,NA
197909030ne,1,Mon,1979-09-03,PIT,NE,16,13,309,2,244,2,FALSE,0,FALSE,PIT,-2,37,Foxboro Stadium,FALSE,78,13,80,NA
197909090kc,2,Sun,1979-09-09,CLE,KC,27,24,402,2,248,1,FALSE,-1,FALSE,PICK,0,36,Arrowhead Stadium,FALSE,71,14,60,NA
197909090det,2,Sun,1979-09-09,WAS,DET,27,24,321,2,374,6,FALSE,4,FALSE,PICK,0,35.5,Pontiac Silverdome,FALSE,72,0,NA,indoor
197909090nyg,2,Sun,1979-09-09,ARI,NYG,27,14,348,4,128,3,FALSE,-1,FALSE,ARI,-3,36,Giants Stadium,FALSE,63,13,54,NA
197909100phi,2,Mon,1979-09-10,ATL,PHI,14,10,247,2,241,2,FALSE,0,FALSE,PHI,-4,35.5,Veterans Stadium,FALSE,65,7,72,NA
197909160atl,3,Sun,1979-09-16,DEN,ATL,20,17,369,2,382,0,FALSE,-2,FALSE,DEN,-3,32,Atlanta-Fulton County Stadium,FALSE,71,15,76,NA
197909160lar,3,Sun,1979-09-16,LAR,SF,27,24,387,1,239,1,TRUE,0,FALSE,LAR,-13,39,Anaheim Stadium,FALSE,83,8,33,NA
197909160cle,3,Sun,1979-09-16,CLE,IND,13,10,321,2,283,0,TRUE,-2,FALSE,CLE,-7,42,Cleveland Municipal Stadium,FALSE,59,9,71,NA
197909160ari,3,Sun,1979-09-16,PIT,ARI,24,21,398,4,212,1,FALSE,-3,FALSE,PIT,-6,40,Busch Memorial Stadium,FALSE,63,5,56,NA
197909160dal,3,Sun,1979-09-16,DAL,CHI,24,20,420,3,318,2,TRUE,-1,FALSE,DAL,-9,37,Texas Stadium,FALSE,68,8,41,NA
197909160sea,3,Sun,1979-09-16,SEA,LVR,27,10,419,0,431,4,TRUE,4,FALSE,SEA,-3,44,Seattle Kingdome,FALSE,72,0,NA,indoor
197909160cin,3,Sun,1979-09-16,NE,CIN,20,14,332,0,198,1,FALSE,1,FALSE,NE,-6,41,Cinergy Field,FALSE,58,7,59,NA
197909230nyg,4,Sun,1979-09-23,PHI,NYG,17,13,326,3,229,2,FALSE,-1,FALSE,PHI,-5,37,Giants Stadium,FALSE,61,16,58,NA
197909230pit,4,Sun,1979-09-23,PIT,IND,17,13,392,4,285,2,TRUE,-2,FALSE,PIT,-14,38,Three Rivers Stadium,FALSE,54,10,65,NA
197909230ari,4,Sun,1979-09-23,WAS,ARI,17,7,191,1,376,5,FALSE,4,FALSE,ARI,-3,39,Busch Memorial Stadium,FALSE,61,8,53,NA
197909230ne,4,Sun,1979-09-23,NE,LAC,27,21,291,2,232,2,TRUE,0,FALSE,NE,-3,44,Foxboro Stadium,FALSE,55,14,72,NA
197909230min,4,Sun,1979-09-23,MIN,GB,27,21,376,2,249,1,TRUE,-1,FALSE,MIN,-1,34,Metropolitan Stadium,FALSE,59,14,53,NA
197909230cin,4,Sun,1979-09-23,TEN,CIN,30,27,361,3,265,2,FALSE,-1,FALSE,TEN,-3,37,Cinergy Field,FALSE,56,11,64,NA
197909300phi,5,Sun,1979-09-30,PHI,PIT,17,14,283,2,308,4,TRUE,2,FALSE,PIT,-4,36,Veterans Stadium,FALSE,68,12,96,NA
197909300det,5,Sun,1979-09-30,MIN,DET,13,10,287,2,193,2,FALSE,0,FALSE,DET,-3,39,Pontiac Silverdome,FALSE,72,0,NA,indoor
197909300no,5,Sun,1979-09-30,NO,NYG,24,14,362,3,285,3,TRUE,0,FALSE,NO,-6,39,Louisiana Superdome,FALSE,72,0,NA,indoor
197909300chi,5,Sun,1979-09-30,TB,CHI,17,13,373,3,234,3,FALSE,0,FALSE,CHI,-1,34,Soldier Field,FALSE,67,9,68,NA
197910010gb,5,Mon,1979-10-01,GB,NE,27,14,317,2,401,6,TRUE,4,FALSE,NE,-7,39,Lambeau Field,FALSE,52,7,88,NA
197910070nyg,6,Sun,1979-10-07,NYG,TB,17,14,220,1,273,3,TRUE,2,FALSE,TB,-6,34,Giants Stadium,FALSE,60,16,55,NA
